,company_name,industry_group,company_code,CIN code,industry_type,Defaulter,PAT/CE,PAT/sales,PBIT/sales,Cash Profits/TA,CR,QR,CFO/Debt,cash/CL,NWC/sales,INTCOV,Debt/Equity,cash/COS,NWC_cycle,Debtor_days,Creditor_days,RM_cycle,WIP_cycle,FG_cycle,NWC/TA,RE/TA,PBIR/TA,sales/TA,MVE/BVD
0,A A Autotech Pvt. Ltd.,Other automobile ancillaries,406281,U34200DL2006PTC146147,1,0,0.100935925,0.022416936,0.035016469,0.127354936,1.332522124,1.109955752,,0.00199115,0.041891849,2.95,7.122417751,0.000303838,131,41.19,43.3,8.81,5.53,1.79,0.123398644,0.082422758,0.103146194,2.945648078,
1,A B B Global Inds. & Services Pvt. Ltd.,ITES,383624,U72200KA2001PTC032179,1,0,0.218910185,0.090337761,0.139664462,0.166270173,1.409133873,1.388754409,0.075199248,,0.013236049,44.59,0.918150051,,172.7,102.79,162.47,,,1.93,0.018506612,0.499560642,0.19527851,1.398197561,
2,A B B India Ltd.,Diversified machinery,21420,L32202KA1949PLC032923,1,0,0.127269421,0.076245183,0.132414612,0.074657403,1.479584457,1.301116758,0.120257412,0.019267241,0.354120962,7.85,1.297877384,0.016204176,23728.3,148.3,174.46,66.24,19.58,6.99,0.257682989,0.424066036,0.096354062,0.727669404,1.05
3,A B M Knowledgeware Ltd.,Computer software,415,L67190MH1993PLC113638,1,0,0.099854458,0.245488488,0.364654636,,6.633041688,6.165208441,,0.015440041,1.597853143,,,0.006896552,1027.1,207.51,81.37,,,,,,,,1.8
4,A C C Ltd.,Cement,23354,L26940MH1936PLC002515,1,0,0.143111575,0.103091803,0.136872068,,1.399502524,1.043229569,,0.020885507,0.07809052,19.38,,0.007398864,11412.5,19.86,108.01,145.13,11.93,12.06,,,,,1.09
5,A D F Foods Ltd.,Processed foods,783,L15400GJ1990PLC014265,1,0,0.144701861,0.152301004,0.219957028,,5.791428571,4.295428571,,0.004,0.350871933,52.07,,0.000453133,702.2,74.99,39.53,15.98,42.67,9.25,,,,,1.03
6,A I A Engineering Ltd.,Castings & forgings,1120,L29259GJ1991PLC015182,1,0,0.125585056,0.146187434,0.213582653,0.137368598,8.498491559,7.029494833,0.45428379,0.000160472,0.772296209,100.19,0.102826161,2.14811E-05,21914.6,103.55,22.79,38.54,29.82,15.08,0.625663075,0.825490633,0.173030474,0.810133557,0.99
7,A L P Nishikawa Co. Pvt. Ltd.,Rubber products,14687,U25190DL1983PTC017070,1,0,0.10737396,0.052882258,0.079183302,0.149136415,1.139172367,0.824380397,,0.004710104,0.033130209,6.88,1.146043724,0.001597383,94.6,65.19,67.77,34.91,13.81,7.35,0.048919226,0.32573172,0.116920054,1.47657462,
8,A P L Apollo Tubes Ltd.,Steel pipes & tubes,35548,L74899DL1986PLC023443,1,0,0.07262374,0.02153713,0.030033382,0.077987872,0.992783905,0.494939219,0.17754169,8.05041E-05,0.000645824,2.72,1.495336284,1.94985E-05,37.9,23.96,32.42,22.58,,19.3,0.001507108,0.306726315,0.07008649,2.333619644,0.84
9,A S I Industries Ltd.,Minerals,23482,L14101MH1945PLC256122,1,0,0.06521145,0.105481269,0.153000332,0.076135826,1.341652685,1.133389262,0.093758778,0.001153523,0.129406564,4.64,1.112075967,0.000720886,234.2,167.43,96.02,187.7,35.64,28.51,0.069273545,0.463884288,0.081903691,0.535317085,0.4
10,A S K Automotive Pvt. Ltd.,Other automobile ancillaries,2791,U34300DL1988PTC030342,1,0,0.156877527,0.072023032,0.11324198,0.166827476,1.176316006,0.879444855,0.521685382,0.009772522,0.034981042,15.7,0.625746702,0.002102622,444.7,46.77,41.83,12.41,7.23,8.34,0.05877688,0.602109465,0.190274786,1.680249541,
11,A S R Multimetals Pvt. Ltd.,Steel,372310,U27109DL2004PTC130197,1,0,-0.000764292,-0.001931248,0.037466203,,,,,0.007378259,-0.068752414,0.58,,0.006031363,-17.8,35.95,88.86,66.63,28.82,65.15,,,,,
12,A S T Telecom Solar Pvt. Ltd.,Other ferrous metal products,464656,U74900DL2013PTC248470,1,0,-0.028419958,-0.050846197,-0.063120699,0.04853408,2.692054434,,0.141458326,,0.479858657,0.21,1.24707314,,1290.1,34.35,,,,,0.240915033,-0.140392157,-0.031690009,0.502054155,
14,A V Thomas & Co. Ltd.,Tea,3340,U51109KL1935PLC000024,1,0,0.108158445,0.028094064,0.04271336,0.092919428,2.673076923,1.05483774,0.101404267,0.001051683,0.117662328,25,0.348288187,8.60882E-05,997.2,15.93,25.51,54.07,,19.1,0.347820021,0.740041856,0.126264388,2.956086502,
15,A V Thomas Leather & Allied Products Pvt. Ltd.,Other leather & related products,3345,U18209TN1977PTC007377,1,0,0.04504709,0.017998005,0.021488802,,,,,0.000926999,0.014325868,1.13,,0.00018997,31.6,20.2,48.76,167.43,28.58,20.69,,,,,
18,Aarti Drugs Ltd.,Drugs & pharmaceuticals,3990,L37060MH1984PLC055433,1,0,0.087982335,0.060003438,0.088678013,0.106991165,1.342552531,0.926885372,0.197540632,0.006115705,0.100519168,4.3,1.43797605,0.002598108,1461.8,100.78,86.77,39.49,22.82,20.88,0.115620378,0.391525812,0.102000301,1.150232142,0.72
19,Aarti Industries Ltd.,Other chemical products,3998,L24110GJ1984PLC007301,1,0,0.09769247,0.105825132,0.131111639,0.117661279,1.338542164,0.966757901,0.260054734,0.000212172,0.112472185,4.29,1.051698215,0.000106186,5115.1,60.57,36.35,41.19,23,23.7,0.097362971,0.338500544,0.113498451,0.865662664,0.89
20,Acer Granito Pvt. Ltd.,Ceramic products,383772,U26914GJ2008PTC053525,1,0,0.031695721,0.016107923,0.022752441,0.099776501,1.259043532,0.744635193,0.129354508,0.000919681,0.077217356,1.65,1.654237288,0.000320034,76.7,78.58,40.94,29.96,0.55,45.09,0.122445722,0.162994891,0.036079183,1.585727969,
21,Action Construction Equipment Ltd.,Mining & construction equipment,369475,L74899HR1995PLC053860,1,0,0.11451409,0.041800954,0.064926945,0.087464532,1.15542044,0.605717982,0.170053097,0.001267788,0.024808152,8.28,0.956049906,0.000387569,333.3,42.81,85.21,45.71,5.68,11.06,0.038443793,0.378786131,0.100613624,1.54964359,0.96
22,Adani Green Energy (U P) Ltd.,Renewable electricity,543531,U40106GJ2015PLC083925,1,0,-0.082312864,-0.579213612,-0.753449069,-0.007761084,0.097489253,0.096737264,0.031453603,,-4.642389055,,-69.64390631,,-8075.9,46.49,612.41,108.68,,,-0.467047203,-0.058549337,-0.075800687,0.100604925,
23,Aditya Auto Products & Engg. (India) Pvt. Ltd.,Other automobile ancillaries,311516,U35204KA1996PTC020766,1,0,0.013001967,0.009986365,0.008364963,0.047836722,0.790325547,0.429587395,,,-0.1287541,1.44,2.357883398,,-349.4,53.89,35.94,70.75,29.07,7.21,-0.140101849,0.252255503,0.009102209,1.08813505,
25,Aditya Birla Fashion & Retail Ltd.,Retail trading,374960,L18101MH2007PLC233901,1,0,0.102569179,0.039570224,0.019674244,0.063716683,0.806710142,0.348439818,0.107330956,0.004388831,-0.131917583,1.81,3.43904043,0.002360666,-10708.7,30.55,174.86,75.77,2.63,103.72,-0.168770646,-0.017055627,0.025170525,1.279364299,0.91
26,Aditya Birla Renewables Ltd.,Renewable electricity,528940,U40300MH2015PLC267263,1,0,0.013573712,0.183687943,0.255319149,0.02932139,2.682,,0.129183956,,0.589361702,1.62,0.603959569,,83.1,,33.69,,,,0.043278996,0.004687256,0.018749023,0.073433675,
27,Advanced Enzyme Technologies Ltd.,Other chemical products,6819,L24200MH1989PLC051018,1,0,0.104001889,0.158674411,0.212841641,0.118310398,2.268915021,0.968271578,0.756629598,0.000665631,0.24048809,22.21,0.14636284,0.000169128,534.1,63.13,65.81,118.57,54.56,19.06,0.145833333,0.603565968,0.12906837,0.606405636,0.99
28,Aerobok Shoe Pvt. Ltd.,Footwear,7145,U74899HR1994PTC073472,1,0,0.036093418,0.013472324,0.020848574,0.064252713,1.161867704,0.647859922,0.181957399,0.001750973,0.050292612,1.78,3.381826742,0.00057398,82.5,69.82,85.2,61.63,18.93,9.38,0.088642957,0.112710863,0.036746535,1.762544321,
29,Agrawal Metal Works Pvt. Ltd.,Copper & copper products,7995,U74899DL1945PTC000835,1,0,0.13012004,0.04821568,0.056602492,,,,,0.001243781,0.0562969,3.55,,7.35916E-05,165.8,36.46,9.1,10.7,35.21,6.93,,,,,
30,Agro Tech Foods Ltd.,Vegetable oils & products,8183,L15142TG1986PLC006957,1,0,0.090236568,0.039143936,0.060591719,,2.68038822,1.745760821,,0.000669344,0.169100417,575.44,,7.32181E-05,1464.9,29.83,44.44,42.1,,21.51,,,,,1
31,Air India Express Ltd.,Air transport services,8622,U62100MH1971GOI015328,1,0,0.115261699,0.072968435,0.098267853,0.141943141,0.17444501,0.103398596,0.117030682,0.000637101,-1.025523282,1.68,-5.039461874,0.000891473,-36648.1,3.99,147.82,,,,-0.993116923,-0.458927812,0.095162606,0.968400172,
32,Air India Ltd.,Air transport services,379037,U62200DL2007GOI161431,1,0,-0.174967426,-0.231147945,-0.220731057,-0.074511621,0.333883262,0.313398392,-0.012431423,0.000144929,-1.315348703,,-2.976522843,0.000263773,-303744.4,43.94,193.79,,,,-0.615489923,-1.085793278,-0.103286483,0.467929091,
33,Airef Engineers Pvt. Ltd.,Business services & consultancy,531139,U74899DL1995PTC073590,1,0,0.15027886,0.316136291,0.441497911,0.154822512,4.652208516,4.421408675,,0.029048945,0.520491803,110.86,0.096379554,0.00868324,647.7,26.66,58.11,7.22,24.47,,0.22585257,0.907734152,0.191575424,0.433921473,
34,Airports Authority Of India,Air transport infrastructure services,8704,,1,0,0.187193817,0.227578375,0.394532056,0.187161594,1.350891338,1.338570343,0.491565622,0.000168532,0.45585127,142.57,0.55505801,0.000171177,56118.3,129.37,332.75,848.32,,,0.241766673,0.614777165,0.209245227,0.530363057,
35,Akay Flavours & Aromatics Pvt. Ltd.,Other agricultural products,9575,U24249KL1993PTC007092,1,0,0.071333511,0.053273257,0.080373708,0.073125784,1.514427945,0.923304084,-0.119172685,0.000337496,0.144149218,4.26,0.914714715,0.000146999,435.1,97.14,45.53,32.72,71.19,,0.17060069,0.327595671,0.095122334,1.183500627,
36,Albert David Ltd.,Drugs & pharmaceuticals,10376,L51109WB1938PLC009490,1,0,0.127923169,0.084067026,0.135283537,,1.800491938,1.499521727,,0.000751571,0.310864969,46.92,,0.000378072,985.1,28.88,91.5,129.61,9.29,35.27,,,,,1.03
37,Alchem International Pvt. Ltd.,Drugs & pharmaceuticals,10437,U74899DL1982PTC013415,1,0,0.089294063,0.052112566,0.090544122,0.113967781,0.892067699,0.322592303,0.193562959,0.002770584,-0.084736514,6.73,1.809173562,0.001954951,-217.4,32.29,102.17,130.95,79.39,33.96,-0.07905742,0.337975926,0.084475799,0.932979381,
38,Alembic Pharmaceuticals Ltd.,Drugs & pharmaceuticals,393826,L24230GJ2010PLC061123,1,0,0.162052024,0.166966247,0.210124895,0.154246435,1.478955626,0.761725067,0.464253939,0.000177013,0.107277883,11.15,0.642288592,6.94545E-05,3927.1,58.1,145.27,97.05,9.23,74.7,0.0881591,0.600443141,0.172676987,0.821782623,0.92
39,Alfa Laval India Pvt. Ltd.,Industrial machinery,10678,U29299PN1937PTC002732,1,0,0.164370338,0.134546313,0.130020729,,2.31693315,1.913673673,,,0.546589906,67.71,,,5326.3,85.5,109.83,59.79,11.65,43.62,,,,,1.02
40,Alicon Castalloy Ltd.,Aluminium & aluminium products,173622,L99999PN1990PLC059487,1,0,0.084504908,0.046363611,0.065688711,0.114444152,1.117215573,0.842266994,0.182709831,0.000594751,0.025699057,3.16,1.58202138,0.000244746,278.2,105.4,81.32,11.61,19.33,12,0.034902832,0.274819025,0.089214247,1.358136676,0.65
41,Alidac Pharmaceuticals Ltd.,Drugs & pharmaceuticals,401458,U24230GJ2005PLC046915,1,0,-0.139551406,-0.24628336,-0.360558839,,1.146274402,0.475116855,,,0.123947698,,,,69.2,109.02,389.8,315.12,39.13,16.8,,,,,
42,Alkem Laboratories Ltd.,Drugs & pharmaceuticals,10884,L00305MH1973PLC174201,1,0,0.13401763,0.139967976,0.167265441,0.126050091,1.857729057,1.26650603,0.44139562,0.00505171,0.172289547,34.47,0.307944251,0.001644344,9845.4,60.07,223.15,93.83,5.61,60.57,0.137732769,0.761213678,0.133716367,0.799426148,1
43,Alkyl Amines Chemicals Ltd.,Organic chemicals,10903,L99999MH1979PLC021796,1,0,0.157907639,0.098935504,0.154558665,0.169603492,1.25492412,0.828382305,0.438266883,4.03616E-05,0.049325977,10.68,0.895418927,1.42235E-05,417.5,59.6,58.66,42.1,5.2,18.58,0.060350684,0.494167305,0.18910363,1.223507134,0.93
45,Allcargo Logistics Ltd.,Transport logistics services,11063,L63010MH2004PLC073508,1,0,0.105615639,0.126997438,0.136561179,0.124449381,1.017059354,0.998004377,0.182505868,0.000729582,0.015061063,6.95,0.58459611,0.000241661,226.3,76.49,46.91,232.84,,,0.010650013,0.452816159,0.096565453,0.707122285,0.84
46,Allengers Medical Systems Ltd.,Other electronics,11104,U33111DL1992PLC154688,1,0,0.142618789,0.075615385,0.101653846,0.117769347,2.394530538,1.724339107,1.03432619,0.001458523,0.282423077,114.87,0.40087368,0.000336956,734.3,68.89,44.35,87.31,12.44,13.29,0.381632971,0.639935554,0.137362923,1.351281118,
47,Allied Nippon Ltd.,Other transport equipment & ancillaries,11347,U34300DL1988PLC030910,1,0,0.119376026,0.062539428,0.09118541,0.143126419,1.371740316,1.088816148,0.173653301,,0.071743993,11.9,0.733348184,,250.2,79.24,56.65,19.41,7.09,19.16,0.107184167,0.552970912,0.136229276,1.493981065,
48,Alphageo (India) Ltd.,Industrial construction,11853,L74210TG1987PLC007580,1,0,0.179832781,0.123185544,0.189690925,0.182710906,1.967456392,1.964657641,0.708083832,0.000520698,0.309840032,26.87,0.615495553,0.00024249,1255.1,162.14,107.04,151.81,,,0.311238407,0.467018797,0.190547042,1.004513217,1.03
49,Amara Raja Batteries Ltd.,Storage batteries,12517,L31402AP1985PLC005305,1,0,0.142908658,0.071199265,0.107911455,0.175561939,2.435203052,1.264833335,0.567614893,0.004300316,0.169136726,105.78,0.286849055,0.000640401,11485.5,41.92,40.76,32.13,17.29,26.65,0.268447513,0.768273386,0.171273043,1.587162761,1
50,Amara Raja Infra Pvt. Ltd.,Other construction & allied activities,436456,U40102AP2008PTC059398,1,0,0.11967921,0.064945693,0.064127362,,1.180539764,1.037400515,,0.000299204,0.089049249,673.25,,0.000204708,239.4,133.38,80.8,,28.62,0.97,,,,,
51,Amara Raja Power Systems Pvt. Ltd.,Diversified machinery,12519,U31102AP1984PLC005165,1,0,0.004142502,0.001994615,0.00827765,,,,,0.000238892,0.242644859,1.45,,0.000102533,243.3,175.07,136.46,36.53,19.96,14.01,,,,,
53,Amber Enterprises India Ltd.,Air-conditioners & refrigerators,12881,L28910PB1990PLC010265,1,0,0.081266964,0.042270702,0.061423187,0.076826355,1.375778812,0.887346131,-0.033472995,0.000605883,0.162019417,9.94,1.121539819,0.000293763,3546.2,89.08,116.64,69.4,0.46,7.92,0.171497935,0.149387266,0.065016588,1.058502355,0.96
54,Ambika Cotton Mills Ltd.,Cotton & blended yarn,13029,L17115TZ1988PLC002269,1,0,0.112160483,0.09272223,0.127430693,,2.85602215,0.764805415,,0.004230118,0.318437312,10.17,,0.000947835,2169.8,7.19,24.09,174.38,13.19,11.86,,,,,0.88
55,Ambuja Cements Ltd.,Cement,86607,L26942GJ1981PLC004717,1,0,0.070634389,0.134186091,0.172899465,0.062864684,1.548365934,1.204812798,0.158619607,0.017455132,0.147389841,16.48,0.178889929,0.006454288,16333.3,12.98,77.76,205.88,20.74,6.07,0.06593596,0.328778764,0.077347883,0.447357564,1.08
56,Ammann India Pvt. Ltd.,Mining & construction equipment,18081,U29248GJ1997PTC033432,1,0,0.094446994,0.062370251,0.094040277,0.111912489,2.024815997,0.760437699,,0.000195402,0.226145197,14.13,0.427979402,4.98504E-05,1492.4,21.56,57.42,75.59,28.98,30.25,0.256280803,0.287671939,0.106571875,1.133257775,
57,Amoli Organics Pvt. Ltd.,Drugs & pharmaceuticals,337822,U24231GJ1991PTC016288,1,0,0.099002891,0.049820374,0.068228378,0.122894073,1.12088429,0.764816557,0.136311444,0.000201586,0.006739705,2.98,2.729701493,0.00010011,22.7,80.69,123.45,46.8,27.96,19.49,0.009083997,0.21929649,0.091960463,1.347833047,
58,Amora Tiles Pvt. Ltd.,Ceramic products,482157,U26933GJ2013PTC075379,1,0,-0.067567568,-0.030743432,-0.042062605,-0.000961307,0.94247191,0.445393258,0.073819742,0.003146067,-0.044577977,,1.272528673,0.000968724,-31.9,43.58,38.04,36.03,1.72,41.14,-0.076664263,0.190098534,-0.07233838,1.719778899,
59,Amrit Bottlers Pvt. Ltd.,Processed foods,309456,U01132WB1983PTC035916,1,0,0.0850282,0.050553806,0.064271924,0.145337757,0.888263359,0.421087786,,0.000763359,-0.031170613,8.6,1.700276375,0.000216006,-122.7,10.76,40.39,44.3,0.85,30.83,-0.043304863,0.248288276,0.089292017,1.389284958,
62,Andhra Pradesh Gas Power Corpn. Ltd.,Conventional electricity,15259,U24111TG1988PLC009231,1,0,0.049753822,0.040755678,0.082201231,,8.025808672,7.842395045,,,0.230312036,15.93,,,868,45.94,12.47,6.38,,,,,,,
63,Angelique International Ltd.,Industrial construction,15469,U18109DL1996PLC075132,1,0,0.018532661,0.010372735,0.044445078,0.040045004,1.158454909,1.119627008,0.051313868,0.00016242,-0.086572438,2.54,1.928380791,0.000169564,-911.4,219.1,178.79,174.78,,6.27,-0.057286167,0.325614723,0.029409916,0.661713682,
65,Anshul Specialty Molecules Pvt. Ltd.,Other chemical products,16864,U24100MH1971PTC015364,1,0,0.08447719,0.266390834,0.325907066,0.092094251,4.102705687,3.409718388,0.875759249,0.001104362,0.483343942,114,0.061903948,0.000271592,455.6,83.68,67.39,28.21,45.07,,0.146655508,0.932852636,0.098886242,0.303418528,
66,Anupam Rasayan India Ltd.,Other chemical products,395750,U24231GJ2003PLC042988,1,0,0.043871598,0.1121395,0.138281205,0.059115234,1.38729963,0.678216194,-0.014969124,0.000328812,0.118377531,4.41,1.121651835,0.000279681,408,76.39,82.4,57.94,119.86,52.81,0.042151373,0.176364237,0.049238589,0.35607579,
67,Apco Infratech Pvt. Ltd.,Infrastructural construction,384948,U51432UP1992PTC013969,1,0,0.179723743,0.085804646,0.120777983,0.155389924,1.217991833,0.912237054,0.543771656,0.000446107,-0.001920516,4.65,1.287666531,0.000152422,-38.5,57.66,144.73,73.04,,2.67,-0.002625406,0.403378249,0.165107335,1.367031723,
68,Apex Frozen Foods Ltd.,Marine foods,438281,L15490AP2012PLC080067,1,0,0.131314658,0.069508751,0.107098353,0.141747955,1.818200592,1.086528533,0.321475453,0.005369312,0.101736576,18.3,0.429074319,0.000981441,889.9,31.95,10.64,1.87,16.71,34.88,0.175367031,0.420632575,0.184609321,1.723736329,0.9
69,Apollo Gleneagles Hospitals Ltd.,Health services,63528,U33112WB1988PLC045223,1,0,-0.054127586,-0.028379976,-0.039322785,0.022965292,0.645880574,0.632065172,0.085738281,0.002183589,-0.146141862,,1.199835112,0.000939238,-778.6,56.53,312.11,,,,-0.162110392,0.213183702,-0.04361948,1.109267318,
70,Apollo Hospitals Enterprise Ltd.,Health services,18102,L85110TN1979PLC008035,1,0,0.042515366,0.036316659,0.061994777,0.086009692,1.209540478,0.891703908,0.207950748,0.019676811,0.055831645,2.74,1.123458189,0.004604081,4654.5,41.35,35.94,,,,0.056443633,0.254661496,0.062674321,1.010961306,0.87
71,Apollo Hospitals Intl. Ltd.,Health services,9922,U85110TN1997PLC039016,1,0,0.046444922,0.04673364,0.07592829,0.097230047,1.634714004,1.485009862,0.176671287,0.053451677,0.182383305,2.69,0.786762855,0.017023682,328.6,78.32,26.42,,,,0.1542723,-0.182253521,0.064225352,0.845868545,
72,Apollo Metalex Pvt. Ltd.,Steel pipes & tubes,374840,U27104DL2006PTC146579,1,0,0.229431944,0.042770895,0.066508417,0.231284266,1.689354543,0.840776996,1.354447439,0.000305904,0.048602304,11.16,0.479293763,2.33749E-05,448.4,20.83,11.51,22.82,,10.51,0.217553733,0.641016933,0.297705109,4.476202028,
73,Apollo Pipes Ltd. [Merged],"Plastic tubes, pipes, fittings & sheets",354934,U28939DL1999PLC098418,1,0,0.112743998,0.043138602,0.066446324,0.142019794,1.3898017,1.001133144,,0.003966006,0.049620123,4.36,0.87614927,0.000656999,115.6,38.56,20.52,29.93,,13.78,0.111079081,0.465071586,0.148746036,2.238589411,
74,Apollo Tyres Ltd.,Tyres & tubes,18151,L25111KL1972PLC002449,1,0,0.056997612,0.048734296,0.082832089,0.075137366,1.193776772,0.732249559,0.086037832,0.027363576,0.074467315,4.54,0.90191188,0.010640029,9047.6,17.65,47.47,41.07,4.94,33.77,0.06228187,0.378206302,0.069277876,0.836365188,0.79
75,Aqualite Industries Pvt. Ltd.,Footwear,75108,U19202HR1996PTC073473,1,0,0.025355104,0.010383821,0.017179515,0.068686341,1.150799366,0.778049834,-0.024137931,0.00028806,0.032293139,1.66,3.600320384,0.000113482,59.4,74.59,70.22,42.05,9.47,7.96,0.051710629,0.085139723,0.027509358,1.601288413,
76,Arya Iron & Steel Co. Pvt. Ltd.,Minerals,388050,U27100MH2004PTC147715,1,0,0.1995842,0.116575592,0.19144657,0.206288098,1.269908336,0.835075909,0.49887981,0.000358064,0.048060868,14.65,0.682742487,0.000118284,253.3,27.88,29.87,41.65,0.58,54.83,0.06772003,0.342957972,0.269757245,1.409047161,
77,Ashirvad Pipes Pvt. Ltd.,"Plastic tubes, pipes, fittings & sheets",340026,U85110KA1997PTC021831,1,0,0.217388076,0.098572316,0.15161662,0.221123255,1.490965052,0.743625894,0.790369341,7.94281E-05,0.083850258,18.09,0.477146972,1.78975E-05,2241.2,37.21,37.03,29.74,3.88,37.66,0.143755131,0.674152042,0.259935601,1.714426827,
78,Ashoka Buildcon Ltd.,Infrastructural construction,22247,L45200MH1993PLC071970,1,0,0.095375857,0.074898446,0.115341932,0.080596973,1.009498705,0.945421272,0.002735589,0.000470108,-0.030049939,7.17,1.239428215,0.000336563,-1148.1,127.03,199.81,31.83,,0.22,-0.023176803,0.267006617,0.088960486,0.771276188,0.78
79,Ashoka Concessions Ltd.,Diversified,437227,U45201MH2011PLC215760,1,0,-0.033167354,-1.055738174,-0.955695298,-0.033480348,0.119243421,,0.018695485,0.000274123,-0.448906674,0.9,0.383145246,0.000161708,-314.1,10.3,13.12,,,,-0.013950885,-0.052427969,-0.029700596,0.031077474,
80,Asian Paints Ltd.,Paints & varnishes,22859,L24220MH1945PLC004598,1,0,0.242809583,0.130855524,0.195152959,0.209023085,1.625228392,0.933672009,0.582595799,0.011620908,0.125487086,106.31,0.427152895,0.003238456,20471.8,27.07,81.64,43.83,3.65,45.87,0.163439023,0.70189092,0.254174434,1.302436999,1
82,Aspire Systems (India) Pvt. Ltd.,Computer software,23161,U40300TN1998PTC046943,1,0,0.174790356,0.123848782,0.186423054,,3.183140554,,,,0.44099079,185.74,,,1187.5,152.85,240.05,,,,,,,,
83,Associated Power Structures Pvt. Ltd.,Steel,328303,U29299GJ1996PTC029688,1,0,0.108170523,0.056589185,0.093582371,0.091907431,1.428667758,1.258019459,,0.000481649,0.208186343,6.01,1.752195585,0.000275969,861.6,142.34,117.57,51.32,,2.57,0.247692971,0.356159264,0.111341095,1.189765704,
84,Astra Microwave Products Ltd.,Other electronics,23668,L29309TG1991PLC013203,1,0,0.024243596,0.042229332,0.056406802,0.06452968,3.656449438,2.483955056,0.013706897,0.000179775,1.116585284,2.57,0.230643814,6.73696E-05,3315.7,239.2,35.16,115.46,88.03,1.17,0.535706207,0.67382945,0.027062397,0.479771868,1.03
85,Astron Packaging Pvt. Ltd.,Paper products,327161,U21029GJ2001PLC039733,1,0,0.042066356,0.034758581,0.060791158,0.090723415,1.403917006,1.162303665,0.128868449,0.002326934,0.132780686,3.1,2.201434297,0.000951852,182.6,99,101.83,29.16,0.72,21.92,0.120305706,0.148965608,0.055079721,0.906048228,
86,Asvini Fisheries Pvt. Ltd.,Marine foods,23774,U05001TN1986PTC012803,1,0,0.126934576,0.040117281,0.061586349,0.123379972,1.323107818,1.070770722,,0.003185375,0.063587349,11.9,0.989807784,0.00068626,457.6,44.45,211.32,1.85,,21.68,0.157310323,0.42308089,0.152359999,2.473924851,
87,Atlas Copco (India) Ltd.,Diversified,24101,U27106PN1960PLC020566,1,0,0.278881114,0.121472672,0.197743257,,2.022160348,1.387189463,,0.000139853,0.287000758,244.32,,5.02297E-05,7683.9,73.76,88.55,73.3,9.53,44.96,,,,,1
88,Aurangabad Electricals Ltd.,Other automobile ancillaries,24606,U31909PN1985PLC037539,1,0,0.127174033,0.052133634,0.07882109,0.173596674,1.029245861,0.760392397,0.163679809,6.13121E-05,0.007387112,9.08,1.878085266,1.63586E-05,48.8,51.24,62.24,19.37,13.48,0.42,0.012681913,0.323726611,0.135317048,1.716761954,
90,Avenue Supermarts Ltd.,Retail trading,333552,L51900MH2000PLC126473,1,0,0.148869192,0.042693189,0.066356254,0.165267024,1.673346693,0.373446481,0.637277319,0.050232152,0.036319417,31.96,0.239207219,0.002976128,7965.6,0.91,7.84,,,27.56,0.114898626,0.455900426,0.209921935,3.16355918,1
91,Avon Ispat & Power Ltd.,Steel,25320,U35921PB1968PLC002754,1,0,0.076995652,0.030617904,0.062067728,0.112331898,1.782740292,1.499557065,0.018735506,0.049682563,0.167542085,3.99,0.923415046,0.011916988,1027.1,99.33,65.44,20.34,7.86,3.12,0.300928774,0.514986376,0.11148223,1.796138408,
94,Ayurvet Ltd.,Drugs & pharmaceuticals,54877,U74899DL1992PLC050587,1,0,0.139582352,0.08089172,0.114103731,0.165612071,1.835807467,1.284300495,0.45082332,0.007197481,0.151956324,27.33,0.376318875,0.001654089,167,56.94,15.54,53.37,2.84,21.91,0.20321246,0.278291555,0.152591872,1.337308348,
95,B A S F India Ltd.,Diversified,26076,L33112MH1943FLC003972,1,0,0.035146875,0.013561977,0.013178617,0.038315802,1.258678995,0.681920009,-0.043879629,,0.044081405,,1.702821876,,2656.2,66.19,94.08,49.45,0.28,44.11,0.069556064,0.341718188,0.020794545,1.57790033,0.82
96,B C H Electric Ltd.,Other electronics,34185,U31103WB1965PLC026427,1,0,0.127048168,0.049448789,0.083194462,0.113493412,1.285030598,0.970343637,0.155367876,7.8456E-05,0.133476477,5.46,1.521532762,3.52896E-05,416.5,125.65,130.14,68.04,0.71,19.43,0.191221707,0.376015794,0.119186447,1.432624765,
97,B D G Metal & Power Ltd.,Steel,391117,U51109WB1999PLC088908,1,0,0.020723167,0.005602926,0.012313558,0.058922349,0.969738652,0.671664374,0.060669266,0.001283815,-0.035176074,2.73,2.185728444,0.000365975,-273.1,46.67,27.82,27.13,,13.74,-0.084961424,0.091027875,0.029741165,2.415318566,
98,B L S Ecotech Ltd.,Man-made filaments & fibres,386263,U74899DL1999PLC098024,1,0,0.02341769,0.013486428,0.022047875,0.091164035,1.216684155,0.403462749,0.160421779,0.000314795,0.058498454,1.71,1.861834794,9.0577E-05,204.3,19.71,19.77,23.34,74.03,4.92,0.08814393,0.102036414,0.033221158,1.506773665,
99,B L S International Services Ltd.,Business services & consultancy,271345,L51909DL1983PLC016907,1,0,0.335862418,0.256916231,0.362739408,0.233593391,1.77991453,,0.670035672,0.003968254,-0.456568002,26.11,1.060195399,0.003367876,-236,55.08,63.62,,,,-0.361021875,0.359645097,0.286828821,0.790729693,1.01
