,company_name,industry_group,company_code,CIN code,industry_type,Defaulter,PAT/CE,PAT/sales,PBIT/sales,Cash Profits/TA,CR,QR,CFO/Debt,cash/CL,NWC/sales,INTCOV,Debt/Equity,cash/COS,NWC_cycle,Debtor_days,Creditor_days,RM_cycle,WIP_cycle,FG_cycle,NWC/TA,RE/TA,PBIR/TA,sales/TA,MVE/BVD
444,I D M C Ltd.,Industrial machinery,98727,U29299GJ1992PLC018283,1,0,0.088029401,0.018803973,0.058580169,0.069902774,1.051904036,0.917616869,-0.051209996,2.4209E-05,-0.011726003,9.11,3.366273161,1.32191E-05,-94.1,106.52,100.96,18.25,13.15,17.67,-0.016849004,0.185553904,0.084173396,1.436892335,
446,I I F L Facilities Services Ltd.,Business services & consultancy,384391,U70102MH2007PLC176401,1,0,0.028175361,0.179273621,0.218732933,0.068161232,0.124155427,,0.137505223,0.001035491,-4.639541234,1.13,7.841645431,0.012924071,-3398,38.65,71.87,,,,-0.699522398,0.023694829,0.032979249,0.150774045,
451,I I F L Wealth Mgmt. Ltd.,Other miscellaneous services,384392,U74140MH2008PLC177884,1,0,0.057617918,,,,,,,0.014730878,,14.37,,0.001524256,1443.1,,,,,,,,,,0.96
453,I M Gears Pvt. Ltd.,Other automobile ancillaries,96742,U35999TN1995PTC030820,1,0,0.069201069,0.050193882,0.076518742,0.143928786,1.388086185,1.247401774,0.428395442,,0.131236536,2.92,0.949878108,,304.6,85.08,44.16,23.07,9,,0.152330466,0.49654931,0.088817764,1.160732146,
454,I O T Utkal Energy Services Ltd.,Diversified non-financial services,406368,U45208OR2009PLC011389,1,0,-0.005705199,-0.029183614,-0.044593065,0.071537876,0.684755301,,0.177686318,,-0.266971361,0.91,10.78626819,,-1273.4,35.09,,,,,-0.047068477,-0.109683524,-0.007861996,0.176305343,
455,I P M India Wholesale Trdg. Pvt. Ltd.,Wholesale trading,397049,U51909DL2009PTC189517,1,0,1.48193137,0.133384355,0.134750998,,0.126950474,0.101374166,,,-1.137948942,2.45,,,-8326.6,9.31,38.58,,,29.95,,,,,
456,I R B Infrastructure Developers Ltd.,Infrastructural construction,373589,L65910MH1998PLC115967,1,0,0.045415741,0.097131867,0.135642494,0.032785641,0.556844583,,0.144062705,0.000128387,-1.503119848,3.02,2.820516343,0.000283149,-50877.3,62.54,80.1,,,,-0.508209396,0.086193412,0.04586114,0.338103044,0.44
457,I T C Ltd.,Tobacco products,97066,L16005WB1910PLC001985,1,0,0.219754824,0.272239512,0.405662934,0.208680087,3.045509547,2.267474723,1.203834343,0.000578355,0.422966867,541.11,0.172104046,0.000189166,193652.8,24.91,63.45,153.34,4.31,24.59,0.291348423,0.725181092,0.279429113,0.688820913,1.02
458,Ihsedu Agrochem Pvt. Ltd.,Vegetable oils & products,97523,U11200MH2000PTC124048,1,0,0.027259798,0.005600528,0.008993312,,1.10906298,0.563854018,,,0.000925305,1.47,,,17.1,32.07,14.41,55.22,,12.76,,,,,
459,Imperial Auto Inds. Ltd.,Diversified,97788,U74899DL1975PLC007737,1,0,0.130357143,0.048535652,0.073637827,0.12301344,1.353142379,0.899822826,0.329191,0.003371229,0.078246302,6.95,1.087003592,0.000969767,1200.4,69.59,61.51,54.32,5.23,4.05,0.141523226,0.318568734,0.133187927,1.808688988,
460,Imperial Hospital & Research Centre Ltd.,Health services,97793,U85110KA1991PLC011781,1,0,0.055129658,0.036683818,0.103176011,0.155406344,0.758800818,0.722575517,0.190240744,0.004655916,-0.066403478,2.79,3.688449848,0.002155286,-149.7,76.4,211.34,,,,-0.069321602,-0.017550359,0.107710118,1.043945358,
466,India Thermit Corpn. Ltd.,Other miscellaneous services,98596,U74999DL1951PLC161818,1,0,0.170154877,0.310157368,0.460467334,,6.500627353,5.560136225,,0.003764115,1.172103004,219.45,,0.001640112,2457.9,201.15,19.83,205.21,39.45,53.03,,,,,
471,Indian Explosives Pvt. Ltd.,Other chemical products,98753,U24292WB1999FTC089431,1,0,0.061222099,0.029935831,0.049816661,,2.154345654,1.550824176,,,0.235619342,,,,822.5,54.01,96.67,70.49,,14.61,,,,,
472,Indian Farmers Fertiliser Co-Op. Ltd.,Fertilisers,98768,,1,0,0.034391699,0.030158764,0.045361421,0.045862619,1.06787643,0.854597063,-0.109654713,0.006859779,-0.264105094,2.14,1.746456958,0.004383152,-73698.5,37.14,23.36,32.75,3,19.18,-0.266799768,0.341386482,0.045824245,1.010203036,
473,Indian Immunologicals Ltd.,Drugs & pharmaceuticals,98829,U72200TG1999PLC032666,1,0,0.11694463,0.104349379,0.113476725,0.138729793,1.184835964,0.719673694,0.348915663,0.000105943,0.049208302,4.5,1.11603141,6.98877E-05,248,61.06,137.56,103.65,56.31,49.13,0.042023927,0.457332158,0.096909208,0.854000746,
474,Indian Oil Corpn. Ltd.,Refinery,98907,L23201MH1959GOI011388,1,0,0.094862154,0.027987875,0.043645157,0.096052859,0.814623743,0.356990346,0.070547437,0.000111405,-0.078447474,7.65,2.084446193,3.02625E-05,-473527.7,7.8,28.34,41.4,6.61,25.09,-0.167356777,0.348407097,0.093110874,2.133360952,0.59
475,Indian Oil Petronas Pvt. Ltd.,Refinery,98909,U74899WB1998PTC219339,1,0,0.182109782,0.136189951,0.210488887,0.192645098,5.396677823,4.77314987,1.098382367,,0.374355191,34.61,0.155917904,,7053.9,9.87,30.45,29.06,,1.12,0.450041151,0.694128456,0.253044871,1.202176867,
478,Indian School Of Business,Education,98986,U80100TG1997NPL036631,1,0,-0.148633828,-0.866073909,-0.843567658,,,,,0.00030656,-0.112809114,,,0.000188076,-40.6,7.5,161.61,,,,,,,,
479,Indian Terrain Fashions Ltd.,Readymade garments,388826,L18101TN2009PLC073017,1,0,0.097738073,0.0608708,0.094253853,0.078282574,2.119905672,1.706070867,0.027910877,0.0001814,0.427184696,5.71,0.726924417,7.96749E-05,1804.3,180.92,128.86,103.58,4.55,91.5,0.454896127,0.366528842,0.100368092,1.064869907,0.91
480,Indian Toners & Developers Ltd.,Dyes & pigments,99038,L74993UP1990PLC015721,1,0,0.116973134,0.171409385,0.20498615,,2.799682666,2.072590242,,0.001586672,0.321917233,40.43,,0.000407789,383.5,54.75,83.06,73.39,7.15,12.92,,,,,1.15
481,Indianoil Skytanking Pvt. Ltd.,Storage & distribution,385522,U11202KA2006PTC040251,1,0,0.32929972,0.10508814,0.15062395,0.34186922,1.951284088,1.926396611,2.001681884,0.001588562,0.052258018,,0.239815615,0.000125183,292.3,5.74,664.97,445.3,,,0.135846075,0.565366919,0.391550867,2.599525956,
482,Indo Amines Ltd.,Other chemical products,99248,L99999MH1992PLC070022,1,0,0.105097749,0.048289482,0.076129197,0.123691469,1.051812898,0.740160531,0.090657742,0.000276778,-0.008472957,4.82,2.175831135,0.00011517,-39.9,70.74,67.49,29.32,13.31,10.34,-0.013259779,0.18680004,0.119138613,1.564952976,0.6
483,Indo Autotech Ltd.,Other automobile ancillaries,378127,U34300HR2006PLC036369,1,0,0.052753291,0.022019822,0.034472872,0.082223712,0.895233966,0.62234059,0.120700717,0.000867115,-0.057209485,4.21,1.338398357,0.000279332,-598.6,39.8,55.34,26.12,5.38,3.48,-0.095571096,0.277564901,0.05758853,1.670546349,
484,Indo- National Ltd.,Dry cells,99444,L31909TN1972PLC006196,1,0,0.079979858,0.060135668,0.088247358,,2.509682417,1.851278079,,0.262896979,0.302255876,7.97,,0.055951203,958,91.71,30.64,35.13,6.89,34.35,,,,,0.95
485,Indofil Industries Ltd.,Pesticides,99688,U24110MH1993PLC070713,1,0,0.07119592,0.08104546,0.102511949,0.0841124,1.415406324,0.914047992,0.04840926,0.000137861,0.177692546,4.28,1.355623964,8.8308E-05,3896.3,147.72,70.94,55.55,,79.16,0.13055818,0.381357352,0.075319836,0.73474202,
486,Indospace Industrial Parks Pvt. Ltd.,Business services & consultancy,469544,U70102MH2009PTC196494,1,0,0.038271925,0.302254098,0.461065574,0.075901328,1.191239316,,,,0.172131148,3.5,0.3832021,,16.8,21.32,228.13,,,,0.019924099,0.079222011,0.053368121,0.115749526,
488,Indus Towers Ltd. [Merged],Telecommunication services,394302,U92100HR2007PLC073822,1,0,0.136506845,0.221967649,0.348137286,0.24965886,0.617828637,,0.462650855,,-0.287449022,7.05,0.783441585,,-31365,66.65,90.19,,,,-0.144592476,0.560709017,0.17511986,0.503019546,
491,Infiniti Retail Ltd.,Retail trading,371651,U31900MH2005PLC158120,1,0,0.028288304,0.00447726,0.00447726,0.028462142,0.586747544,0.134206833,0.025876699,0.004075904,-0.114175487,1.07,-6.974452127,0.00114096,-4258.7,6.62,33.05,,,46,-0.417683405,-0.741545704,0.016378972,3.65825814,
